Power,H,T,P,t1,p1,t2,p2,t4,p4,m4,m_gas,CLCSO
145.2215,32.20152283,22.23962212,100.9043213,21.9,-0.07,394.3,1.11,27.7797,0.23,1089449,47195,80.93683624
145.7525,32.08514786,22.26550102,100.9063293,21.9,-0.07,394.4,1.11,27.7859,0.22,1072013,47180,80.96218872
146.1221,32.20703888,22.24234772,100.9048828,21.9,-0.07,394.2,1.11,27.8044,0.22,1141858,47356,81.10552216
145.2447,32.4916687,22.22003937,100.9097778,21.9,-0.07,394.2,1.11,27.7861,0.22,1070691,47164,80.93182373
145.2026,32.10050964,22.19846725,100.909845,21.9,-0.07,394.2,1.11,27.766,0.21,1064025,47172,80.96131897
144.8218,31.91614914,22.24768829,100.9133179,21.9,-0.07,394.2,1.11,27.8156,0.21,1102603,47122,80.90948486
145.9376,32.58089828,22.21686554,100.9130737,21.9,-0.07,394.3,1.11,27.831,0.22,1109760,47277,81.09281158
145.999,32.48942566,22.20315933,100.9134827,22,-0.07,394.3,1.11,27.8337,0.21,1104653,47508,81.21382904
145.0387,32.6921463,22.16196251,100.9110474,22,-0.07,394.4,1.11,27.8094,0.22,1120669,47258,80.97322083
145.1605,32.68628311,22.15457344,100.9144775,21.9,-0.07,394.4,1.11,27.7936,0.22,1042931,47263,80.88742065
144.9656,32.76321411,22.1367836,100.9110229,21.9,-0.07,394.5,1.11,27.8249,0.21,1128591,47123,80.85031891
145.6482,32.89798737,22.10066986,100.9121094,21.9,-0.07,394.4,1.11,27.8596,0.24,1125987,47300,81.06884003
146.9067,32.84824371,22.10381889,100.9149109,21.8,-0.07,394.3,1.11,27.8318,0.24,1096124,47676,81.34313202
146.1526,32.82058334,22.06568718,100.9139099,21.8,-0.07,394.3,1.11,27.8318,0.24,1062002,47401,81.09844971
144.9835,32.74308777,22.06308556,100.915094,21.8,-0.07,394.3,1.11,27.7855,0.25,1054752,47085,80.79570007
144.5552,32.54656982,22.06766129,100.9136902,21.8,-0.07,394.3,1.11,27.8264,0.27,1112813,47507,80.7616272
145.051,32.07787704,22.04099083,100.9182556,21.7,-0.07,394.1,1.11,27.8761,0.26,1058623,46972,80.79309845
145.0896,32.26442719,22.04221535,100.9132141,21.7,-0.07,394.1,1.11,27.8302,0.25,1060300,47144,80.78697968
145.5941,32.24378967,22.0037899,100.9125793,21.8,-0.07,394,1.11,27.8077,0.24,1110259,47469,81.09336853
145.6012,32.22620392,22.02103615,100.9087341,21.8,-0.07,394.1,1.11,27.7841,0.23,1122938,47240,80.93836975
144.3517,32.15875244,22.03245926,100.9072815,21.8,-0.07,394.2,1.11,27.816,0.23,1096409,47128,80.84601593
145.5325,32.5348587,22.03097153,100.9065369,21.8,-0.07,394.3,1.11,27.835,0.25,1072377,47104,80.84674835
143.9517,32.80886841,22.01444244,100.9030457,21.8,-0.07,394.3,1.11,27.8285,0.24,1118286,47279,80.76803589
144.4097,33.21477509,21.97261429,100.8994446,21.8,-0.07,394.4,1.11,27.8086,0.23,1104719,47075,80.79057312
144.9443,33.15695572,21.98898697,100.9003174,21.8,-0.07,394.3,1.11,27.7789,0.24,1036156,47231,80.92518616
145.5157,33.27079773,21.9484024,100.8916382,21.7,-0.07,394.3,1.11,27.8458,0.25,1066536,47183,80.91283417
