Power,H,T,P,t1,T1,p1,P1,t2,T2,p2,P2,T3,P3,t4,T4,p4,P4,m4,m_gas,CLCSO,pai,c_efficiency,t_efficiency,h_efficiency,h_consumption
197.1,16.16,26.39,991.5,26.5,299.65,-0.26,0.10104,433.5,706.65,1.39,1.4913,1596.783125,1.476387,578.6,851.75,0.43,0.10173,1377830,59082,89.09044647,14.75950119,0.852453571,0.90697315,0.360653128,9981.890411
191.2,16.19,26.33,991.47,26.4,299.55,-0.25,0.10105,430.9,704.05,1.36,1.4613,1593.477415,1.446687,578.7,851.85,0.39,0.10169,1387246,57723,88.61820221,14.46115784,0.848139631,0.909331966,0.358094179,10053.22123
184.6,16,26.34,991.51,26.4,299.55,-0.24,0.10106,428.4,701.55,1.33,1.4313,1590.023825,1.416987,578.8,851.95,0.35,0.10165,1289700,56458,88.12483215,14.16287354,0.843923072,0.911732998,0.353479697,10184.46046
180.7,16.25,26.32,991.5,26.4,299.55,-0.24,0.10106,425.8,698.95,1.3,1.4013,1586.828772,1.387287,579.6,852.75,0.31,0.10161,1353098,55104,87.668396,13.86602019,0.839766036,0.913583126,0.354513922,10154.74931
174.6,16.3,26.3,991.5,26.4,299.55,-0.23,0.10107,423.5,696.65,1.28,1.3813,1583.731345,1.367487,580.5,853.65,0.27,0.10157,1227242,54016,87.22590637,13.66676561,0.838031056,0.913755223,0.34944601,10302.02062
169.3,16.3,26.28,991.53,26.4,299.55,-0.22,0.10108,421.3,694.45,1.25,1.3513,1580.303282,1.337787,581.2,854.35,0.24,0.10154,1272438,52915,86.73618317,13.36861892,0.832640462,0.915837531,0.34588874,10407.97106
163.1,16.41,26.27,991.52,26.4,299.55,-0.22,0.10108,419,692.15,1.22,1.3213,1578.055914,1.308087,582.8,855.95,0.21,0.10151,1260494,51815,86.41513062,13.0718243,0.82728467,0.917754186,0.340295907,10579.0282
155.5,16.4,26.24,991.51,26.4,299.55,-0.21,0.10109,416.5,689.65,1.19,1.2913,1573.283308,1.278387,584.4,857.55,0.17,0.10147,1169731,50510,85.73332977,12.77376595,0.822073764,0.918059768,0.332821438,10816.61093
150.6,16.41,26.22,991.52,26.3,299.45,-0.21,0.10109,414.1,687.25,1.16,1.2613,1564.22708,1.248687,585.9,859.05,0.14,0.10144,1208527,49136,84.43958282,12.47700069,0.815971194,0.915617726,0.331347303,10864.73307
143.4,16.26,26.2,991.53,26.3,299.45,-0.21,0.10109,411.6,684.75,1.14,1.2413,1555.528883,1.228887,586.3,859.45,0.12,0.10142,1159977,48094,83.19698334,12.27915719,0.813982451,0.912879719,0.32234172,11168.27197
139.2,16.59,26.19,991.52,26.3,299.45,-0.2,0.1011,409,682.15,1.11,1.2113,1544.225661,1.199187,586.3,859.45,0.09,0.10139,1096416,46481,81.58223724,11.98120673,0.808308739,0.91083301,0.323759141,11119.37716
140.7,16.5,26.19,991.48,26.3,299.45,-0.19,0.10111,406.4,679.55,1.08,1.1813,1536.007956,1.169487,586.9,860.05,0.07,0.10137,1061800,45626,80.40827942,11.6833152,0.802357507,0.91038433,0.333380327,10798.47761
141.9,16.53,26.16,991.45,26.3,299.45,-0.19,0.10111,404.5,677.65,1.08,1.1813,1539.112273,1.169487,589.5,862.65,0.06,0.10136,1055165,45940,80.85175323,11.6833152,0.806388388,0.909200086,0.333925567,10780.84567
143.5,16.42,26.18,991.51,26.3,299.45,-0.19,0.10111,403.7,676.85,1.09,1.1913,1541.346182,1.179387,592.2,865.35,0.05,0.10135,1109424,46291,81.17088318,11.78221739,0.811959674,0.905031766,0.335130231,10742.09268
