clusters,power,H,T,P,t1,p1,t2,p2,t4,p4,m4,m_gas
0,153.089812,46.41319498,25.26035158,607.9808982,25.43433678,-0.144430856,402.544873,1.142022578,592.0344436,0.098428975,1147203.936,48888.18156
1,153.6011216,62.7254139,21.45583474,629.5551701,21.37374818,-0.147452601,396.4591152,1.141604278,589.5113633,0.073636364,1120782.401,49053.41711
2,283.5579663,63.00419925,22.11809749,856.4037556,21.98016231,-0.282398557,450.8051398,1.740901713,590.7499627,1.158764653,1639076.991,76945.34626
3,279.1761247,22.68602363,33.81904256,605.1496939,30.56303271,-0.212150644,465.6295342,1.703914767,611.1442455,1.132120912,1623462.281,76426.81764
4,283.4348161,44.83559236,26.6370561,806.7839815,26.70935484,-0.267741935,459.1290323,1.726833333,605.517007,1.107795699,1637749.993,77237.28978
5,280.7608763,31.01996278,29.9274863,689.8099199,29.57793965,-0.235093652,463.9156608,1.711123829,610.4667956,1.114281998,1626926.225,76765.9204
6,184.4385926,72.29822929,2.596636607,1025.667387,2.938462963,-1.356494444,387.3898704,1.318544444,560.8778704,1.781357407,1125214.431,55652.10574
7,191.0953024,40.78768569,26.58318954,153.6271352,26.17558824,-0.089323529,419.7682353,1.324529412,580.277865,0.427294118,1309950.103,56627.87647
8,229.6680169,32.02402235,28.56666293,153.1241976,27.23744186,-0.09180814,437.7613372,1.501552326,579.8958742,0.856697674,1461060.907,64638.01802
9,228.430625,46.06130556,1.16712146,1024.412274,1.815,-1.612375,400.650625,1.5154375,552.21125,1.6314375,1299036.756,64540.175
10,171.2295569,25.26785618,1.042209745,1027.104649,1.832069438,-1.126425308,381.624646,1.255820009,562.3215624,1.083074463,1059245.801,53186.38922
11,169.8672927,22.86204099,7.469209375,1017.890046,7.741105599,-1.116860383,390.3489015,1.241445783,572.5506378,1.001137491,1071300.71,52845.77675
12,204.9526738,81.22384523,4.249392524,1020.475819,4.524064171,-1.540080214,397.2882353,1.410427807,557.5909091,1.924438503,1218920.631,59727.10963
13,205.1951807,90.73213384,2.343190363,1022.794427,2.656626506,-1.535301205,393.8114458,1.412349398,556.0548193,1.919337349,1204344.488,59765.13855
14,259.62575,79.15115,19.745425,1002.8773,19.86125,-0.300025,436.6355,1.639225,577.1615,0.814875,1563463.645,70979.3325
15,266.8424707,23.03521082,34.37560052,875.3437886,29.90142857,-0.281642857,461.2964286,1.678642857,595.8032529,0.995857143,1616381.786,73512
16,143.1041604,45.91807448,23.68350397,100.2996221,23.82585139,-0.06996904,396.1004644,1.097801858,589.9476051,0.215897833,1089213.31,46771.74768
17,144.2757665,35.84522997,21.10747291,100.8917834,21.13687375,-0.07,392.8755511,1.107194389,145.3207611,0.247915832,1085494.537,47035.98597
18,143.8171361,45.76658633,18.84572166,100.7759479,19.19096774,-0.070709677,390.0051613,1.1,586.1187516,0.211548387,1079085.394,46897.86452
19,303.0605691,79.20808029,1.614513307,1026.663925,2.153658537,-2.549268293,427.654878,1.889227642,552.247561,3.269674797,1620353.565,80750.60976
20,300.8342105,59.05394276,3.097975244,1025.921262,3.965789474,-2.522631579,430.4701754,1.877631579,554.6070175,3.247807018,1620976.281,80286.07018
