clusters,power,H,T,P,t1,p1,t2,p2,t4,p4,m4,m_gas,c_pai,c_efficiency,t_efficiency,h_efficiency,h_consumption
0,280.7727428,31.04909804,29.91421344,690.3363759,29.56841015,-0.235235629,463.9015018,1.711175557,610.4502067,1.114267219,1626964.184,76767.92336,17.93379724,0.893061948,0.876891123,0.395396011,9104.939298
1,283.4427015,44.90684225,26.62397317,807.186473,26.69713514,-0.267854054,459.107027,1.726902703,605.4893655,1.107756757,1637820.449,77238.73514,18.09525056,0.892575091,0.877199355,0.396720155,9074.53039
2,283.5560688,63.02325065,22.1140198,856.9529244,21.97588076,-0.282547425,450.7973803,1.740903342,590.7417126,1.158545619,1639094.47,76944.6477,18.23643279,0.88937118,0.882483036,0.398395678,9036.337909
3,279.1777907,22.70377482,33.81326149,604.5447366,30.56195652,-0.211996047,465.6269763,1.703922925,611.1455686,1.13243083,1623383.171,76427.13538,17.85793746,0.892559034,0.877315587,0.394904745,9116.275233
4,169.8672927,22.86204099,7.469209375,1017.890046,7.741105599,-1.116860383,390.3489015,1.241445783,572.5506378,1.001137491,1071300.71,52845.77675,13.40294425,0.806954348,0.900127372,0.347500608,10359.84102
5,171.2295569,25.26785618,1.042209745,1027.104649,1.832069438,-1.126425308,381.624646,1.255820009,562.3215624,1.083074463,1059245.801,53186.38922,13.54766721,0.800515158,0.903976714,0.348034754,10344.01869
6,229.6680169,32.02402235,28.56666293,153.1241976,27.23744186,-0.09180814,437.7613372,1.501552326,579.8958742,0.856697674,1461060.907,64638.01802,15.83719772,0.879319848,0.899710235,0.384124269,9372.024048
7,228.430625,46.06130556,1.16712146,1024.412274,1.815,-1.612375,400.650625,1.5154375,552.21125,1.6314375,1299036.756,64540.175,16.21796141,0.838808783,0.903018554,0.382628732,9408.667472
8,153.6011216,62.7254139,21.45583474,629.5551701,21.37374818,-0.147452601,396.4591152,1.141604278,589.5113633,0.073636364,1120782.401,49053.41711,12.28744132,0.822698443,0.905477467,0.338519479,10634.66073
9,153.089812,46.41319498,25.26035158,607.9808982,25.43433678,-0.144430856,402.544873,1.142022578,592.0344436,0.098428975,1147203.936,48888.18156,12.29122332,0.829699534,0.905254176,0.338531414,10634.32768
10,191.0953024,40.78768569,26.58318954,153.6271352,26.17558824,-0.089323529,419.7682353,1.324529412,580.277865,0.427294118,1309950.103,56627.87647,14.08774322,0.858836616,0.911155994,0.364820556,9867.922386
11,184.4385926,72.29822929,2.596636607,1025.667387,2.938462963,-1.356494444,387.3898704,1.318544444,560.8778704,1.781357407,1125214.431,55652.10574,14.20647989,0.814653317,0.906813843,0.358279387,10048.12441
12,259.62575,79.15115,19.745425,1002.8773,19.86125,-0.300025,436.6355,1.639225,577.1615,0.814875,1563463.645,70979.3325,17.23292506,0.882680435,0.893874082,0.395434254,9103.948311
13,266.8424707,23.03521082,34.37560052,875.3437886,29.90142857,-0.281642857,461.2964286,1.678642857,595.8032529,0.995857143,1616381.786,73512,17.62003209,0.892076337,0.878870835,0.392426327,9173.760887
14,205.1951807,90.73213384,2.343190363,1022.794427,2.656626506,-1.535301205,393.8114458,1.412349398,556.0548193,1.919337349,1204344.488,59765.13855,15.17219573,0.82844206,0.907245758,0.371174044,9698.992633
15,204.9526738,81.22384523,4.249392524,1020.475819,4.524064171,-1.540080214,397.2882353,1.410427807,557.5909091,1.924438503,1218920.631,59727.10963,15.15365941,0.830097229,0.907063327,0.370971382,9704.289038
16,303.0605691,79.20808029,1.614513307,1026.663925,2.153658537,-2.549268293,427.654878,1.889227642,552.247561,3.269674797,1620353.565,80750.60976,20.15710903,0.879161487,0.888032343,0.405734495,8872.822223
17,300.8342105,59.05394276,3.097975244,1025.921262,3.965789474,-2.522631579,430.4701754,1.877631579,554.6070175,3.247807018,1620976.281,80286.07018,20.03426188,0.880195505,0.887502431,0.405084371,8887.063045
18,144.2757665,35.84522997,21.10747291,100.8917834,21.13687375,-0.07,392.8755511,1.107194389,145.3207611,0.247915832,1085494.537,47035.98597,11.93810519,0.816132965,1.495967516,0.33160089,10856.61277
19,143.1041604,45.91807448,23.68350397,100.2996221,23.82585139,-0.06996904,396.1004644,1.097801858,589.9476051,0.215897833,1089213.31,46771.74768,11.84531753,0.818798766,0.905614379,0.330770738,10883.73378
20,143.8171361,45.76658633,18.84572166,100.7759479,19.19096774,-0.070709677,390.0051613,1.1,586.1187516,0.211548387,1079085.394,46897.86452,11.86711866,0.810037641,0.906427371,0.331524769,10858.96425
